"","X","PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD","logCRECEIVE","CLAIMSORIGINAL"
"24",24,5392220,1995,12835,1994,"NL","",601715,2,11,395,2,22,4,14,1,0.7041,0.625,2.2857,5.25,0,0,0,0,2.63905732961526,6.875
"25",25,5497016,1996,13213,1994,"TW","",703520,3,19,257,4,46,4,3,1,0,0.375,1.6667,3.5,0,0,0,0,1.09861228866811,7.125
"26",26,5388322,1995,12828,1993,"US","MI",NA,1,2,29,5,52,6,4,0.8333,0.375,0.56,3,18.1667,NA,NA,NA,NA,1.38629436111989,1.12
"27",27,5538056,1996,13353,1994,"CA","",687123,2,12,144,5,51,15,2,0.8,0.5,0.1528,3.5,21.7333,0,0,0,0,0.693147180559945,1.8336
"28",28,5848408,1998,14221,1997,"US","CA",710167,2,20,707,2,22,7,2,1,0,0.2449,0,2.2857,0,0,0,0,0.693147180559945,4.898
"29",29,5513849,1996,13276,1995,"US","MA",NA,1,1,273,6,62,7,2,1,0,0,1.5,8,NA,NA,NA,NA,0.693147180559945,0
"30",30,5420991,1995,12933,1994,"US","OR",278220,2,20,711,2,24,7,23,1,0.6465,0.4898,1.3913,3.8571,0.2857,0.2857,0.6818,0.6522,3.13549421592915,9.796
"31",31,5672903,1997,13787,1996,"US","TX",533420,2,11,257,4,46,23,3,1,0.4444,0.7335,0,5.6522,0,0,0,0,1.09861228866811,8.0685
"32",32,5652309,1997,13724,1996,"JP","",709856,3,8,525,1,15,5,1,1,0,0.64,0,9.6,0.2,0.2,0,0,0,5.12
"33",33,5818367,1998,14158,1996,"JP","",532110,3,79,341,2,22,7,1,1,0,0.449,2,3.7143,0.2857,0.2857,1,1,0,35.471
"34",34,5554994,1996,13402,1995,"US","AZ",689291,2,20,342,2,21,4,5,1,0.56,0.625,0.8,2,0,0,0,0,1.6094379124341,12.5
"35",35,5426570,1995,12954,1994,"US","UT",NA,1,5,362,4,42,12,1,0.8333,0,0.68,3,17.1667,NA,NA,NA,NA,0,3.4
"36",36,5475768,1995,13129,1993,"US","CA",87490,3,3,382,2,22,17,4,1,0.75,0.2145,2.5,9.8824,0,0,0.3333,0.25,1.38629436111989,0.6435
"37",37,5808483,1998,14137,1996,"JP","",307635,3,37,326,4,46,12,1,1,0,0.4167,1,9.9167,0,0,0,0,0,15.4179
"38",38,5673907,1997,13794,1995,"US","CA",635240,2,4,271,5,51,7,1,1,0,0.449,1,5,0.2857,0.2857,0,0,0,1.796
"39",39,5489491,1996,13185,1994,"US","MD",NA,1,11,429,4,45,9,1,1,0,0.5185,3,10.4444,NA,NA,NA,NA,0,5.7035
"40",40,5671409,1997,13780,1995,"US","CA",NA,1,20,707,2,22,1,2,1,0.5,0,2.5,14,NA,NA,NA,NA,0.693147180559945,0
"41",41,5662027,1997,13759,1996,"US","NV",NA,1,7,99,6,61,11,2,1,0,0.5124,2.5,13.8182,NA,NA,NA,NA,0.693147180559945,3.5868
"42",42,5575316,1996,13472,1995,"DE","",701359,3,24,141,5,51,10,2,0.8,0.5,0.8125,2,17.1,0,0,0,0,0.693147180559945,19.5
"43",43,5622288,1997,13626,1995,"US","PA",736177,2,15,222,1,19,20,1,0.9,0,0,1,15.2,0,0,0,0,0,0
"44",44,5518054,1996,13290,1994,"US","UT",385785,2,5,149,1,19,11,3,0.8182,0.4444,0.4938,2.6667,15.9091,0.3333,0.2727,0,0,1.09861228866811,2.469
"45",45,5661803,1997,13752,1995,"US","CT",442205,2,14,705,2,22,32,1,1,0,0.4199,1,6.5,0.0323,0.0313,0,0,0,5.8786
"46",46,5408234,1995,12891,1993,"US","CA",32940,2,18,341,2,22,4,3,1,0.6667,0.625,2.6667,11,0,0,0,0,1.09861228866811,11.25
"47",47,5594903,1997,13528,1993,"US","CA",716254,2,16,395,2,22,10,7,1,0.7347,0.66,3.4286,9.1,0,0,0,0,1.94591014905531,10.56
"48",48,5582027,1996,13493,1995,"JP","",402550,3,21,62,6,69,5,4,0.8,0.375,0.375,2.25,17.6,0.25,0.2,0,0,1.38629436111989,7.875
"49",49,5827237,1998,14179,1996,"US","CA",739634,2,29,604,3,32,6,1,1,0,0.6667,1,20,0,0,0,0,0,19.3343
"50",50,5717692,1998,13920,1996,"US","AL",386735,2,33,370,2,21,5,1,1,0,0.56,0,5,0,0,0,0,0,18.48
"51",51,5464495,1995,13094,1993,"DE","",321820,3,42,156,1,19,9,1,1,0,0.3457,4,8.8889,0,0,0,0,0,14.5194
"52",52,5388761,1995,12828,1993,"CA","",NA,1,28,239,5,59,12,3,1,0.4444,0.6111,4,11.1667,NA,NA,NA,NA,1.09861228866811,17.1108
"53",53,5663998,1997,13759,1996,"JP","",717310,3,6,378,4,44,2,2,1,0.5,0,1,8.5,0,0,0,0,0.693147180559945,0
"54",54,5506475,1996,13248,1994,"US","TN",355185,2,17,315,4,42,7,2,1,0.5,0.6939,3,5.2857,0.1429,0.1429,0,0,0.693147180559945,11.7963
"55",55,5454018,1995,13052,1993,"US","IL",507660,2,14,377,4,49,6,2,0.8333,0,0,3.5,22.8333,0,0,0,0,0.693147180559945,0
"56",56,5767951,1998,14046,1996,"JP","",407060,3,10,355,5,54,2,1,1,0,0,2,2.5,1,1,0,0,0,0
"57",57,5687212,1997,13829,1995,"US","MD",58435,2,24,379,2,21,24,6,1,0.6111,0.3611,1.6667,5.375,0.0833,0.0833,0,0,1.79175946922805,8.6664
"58",58,5671076,1997,13780,1995,"JP","",377950,3,20,359,5,54,2,5,1,0.32,0,3,11,0,0,0,0,1.6094379124341,0
"59",59,5473404,1995,13122,1994,"US","NY",160890,2,10,396,5,54,2,2,1,0.5,0,2,1,0.5,0.5,0,0,0.693147180559945,0
"60",60,5699011,1997,13864,1996,"US","IL",639685,2,17,329,4,41,2,1,1,0,0.5,1,4.5,0.5,0.5,0,0,0,8.5
"61",61,5838051,1998,14200,1996,"TW","",719745,3,2,257,4,46,11,1,1,0,0.5785,1,4.8182,0,0,0,0,0,1.157
"62",62,5721041,1998,13934,1996,"US","WI",NA,1,20,428,6,69,9,1,1,0,0.716,0,14.3333,NA,NA,NA,NA,0,14.32
"63",63,5378641,1995,12786,1993,"US","ID",692633,2,2,438,4,46,9,10,1,0,0,2.8,4.3333,0,0,0,0,2.30258509299405,0
"64",64,5494134,1996,13206,1993,"US","OH",NA,1,8,184,5,59,5,1,0.4,0,0.5,1,45,NA,NA,NA,NA,0,4
"65",65,5707735,1998,13892,1996,"US","GA",NA,1,7,428,6,69,50,1,1,0,0.7512,2,13.86,NA,NA,NA,NA,0,5.2584
"66",66,5415499,1995,12919,1993,"US","MI",202980,2,9,405,6,64,7,4,1,0.75,0.8163,3.25,16.2857,0,0,0,0,1.38629436111989,7.3467
"67",67,5666419,1997,13766,1994,"JP","",87490,3,18,380,2,22,10,2,1,0,0.66,2.5,5.9,0.1429,0.1,0,0,0.693147180559945,11.88
"68",68,5466343,1995,13101,1993,"FI","",603675,3,25,162,1,19,10,1,0.7,0,0,3,23.9,0.25,0.1,0,0,0,0
"69",69,5555511,1996,13402,1994,"JP","",395735,3,20,358,2,21,4,2,1,0.5,0.625,1.5,3.75,0,0,0,0,0.693147180559945,12.5
"70",70,5675637,1997,13794,1995,"US","GA",283945,2,19,379,2,21,20,9,1,0.4938,0.335,1.4444,4.2,0,0,0,0,2.19722457733622,6.365
"71",71,5671573,1997,13787,1996,"US","NE",599755,2,5,52,6,69,25,1,0.8,0,0.34,2,22.2,0,0,0,0,0,1.7
"72",72,5620715,1997,13619,1994,"US","WI",433660,2,31,425,5,51,19,3,0.9474,0.4444,0.6296,2.6667,18.5789,0,0,0,0,1.09861228866811,19.5176
"73",73,5580423,1996,13486,1995,"US","OH",454215,2,14,162,1,19,57,4,0.9123,0.375,0.5947,1.75,18.5614,0.3864,0.2982,0.75,0.75,1.38629436111989,8.3258
"74",74,5535365,1996,13339,1993,"US","MN",126330,2,5,711,2,24,8,6,1,0.6667,0.75,3.3333,4.5,0,0,0,0,1.79175946922805,3.75
"75",75,5594503,1997,13528,1994,"JP","",727308,3,6,348,4,49,10,4,1,0.75,0.46,2.25,5.2,0,0,0,0,1.38629436111989,2.76
"76",76,5446026,1995,13024,1993,"US","MD",714131,2,11,514,3,31,2,2,1,0,0,2.5,11,0,0,0.5,0.5,0.693147180559945,0
"77",77,5579376,1996,13479,1995,"US","TX",720176,2,21,455,2,21,113,2,1,0.5,0.7629,1,7.4513,0,0,0,0,0.693147180559945,16.0209
"78",78,5774193,1998,14060,1995,"US","NH",NA,1,22,348,4,49,3,1,0.6667,0,0.5,3,15.6667,NA,NA,NA,NA,0,11
"79",79,5515274,1996,13276,1994,"JP","",210840,3,12,701,2,22,24,1,1,0,0.5382,1,5.5833,0.2917,0.2917,0,0,0,6.4584
"80",80,5689547,1997,13836,1995,"US","NC",178765,2,15,379,2,21,12,8,1,0.2188,0.625,1.625,5,0,0,0.5,0.5,2.07944154167984,9.375
"81",81,5675853,1997,13801,1996,"US","WA",NA,1,20,5,6,65,16,1,1,0,0.4922,1,10.1875,NA,NA,NA,NA,0,9.844
"82",82,5462412,1995,13087,1994,"US","TN",261105,2,7,416,1,19,16,10,0.8125,0.68,0.497,2.4,20,0,0,0.5,0.3,2.30258509299405,3.479
"83",83,5566816,1996,13444,1994,"US","IN",266985,2,6,198,5,59,6,2,1,0,0.7778,3,11.3333,0,0,1,0.5,0.693147180559945,4.6668
"84",84,5499158,1996,13220,1994,"US","MA",570160,2,12,361,4,45,10,3,1,0.4444,0.32,2.6667,5.5,0.3,0.3,0.6667,0.6667,1.09861228866811,3.84
"85",85,5392510,1995,12842,1993,"US","MO",706518,2,4,29,5,52,7,1,1,0,0.6122,2,13.1429,0.2857,0.2857,0,0,0,2.4488
"86",86,5454173,1995,13059,1993,"FR","",490355,3,19,36,6,63,16,6,0.9375,0.6111,0,3.3333,12.375,0.1667,0.125,0.6,0.5,1.79175946922805,0
"87",87,5639469,1997,13682,1994,"FR","",377880,2,16,424,3,31,13,1,1,0,0.6627,3,7.7692,0.0769,0.0769,1,1,0,10.6032
"88",88,5456438,1995,13066,1993,"US","NY",160890,2,17,248,6,69,3,1,0.6667,0,0.5,3,39.6667,0,0,0,0,0,8.5
"89",89,5776119,1998,14067,1996,"US","LA",NA,1,10,604,3,32,6,1,1,0,0.2778,1,9,NA,NA,NA,NA,0,2.778
"90",90,5687495,1997,13836,1995,"US","IL",689201,2,11,40,6,69,9,2,0.6667,0.5,0.7222,1.5,24.7778,0.25,0.1111,0.5,0.5,0.693147180559945,7.9442
"91",91,5644573,1997,13696,1995,"US","CA",709776,2,24,370,2,21,7,3,1,0.4444,0.449,1.6667,8.1429,0,0,0.3333,0.3333,1.09861228866811,10.776
"92",92,5464273,1995,13094,1994,"JP","",320505,3,16,297,6,65,10,5,0.9,0.32,0.1975,2.4,21.8,0,0,0,0,1.6094379124341,3.16
"93",93,5432293,1995,12975,1992,"JP","",636035,3,33,84,6,69,4,6,1,0,0,3.6667,16.5,0,0,0.8333,0.8333,1.79175946922805,0
"94",94,5748090,1998,14004,1997,"US","VA",597260,6,5,340,2,21,7,1,1,0,0.4898,0,10,0,0,0,0,0,2.449
"95",95,5553390,1996,13402,1994,"DE","",295080,3,16,33,6,69,19,1,1,0,0.8255,2,10.1053,0.6667,0.6316,1,1,0,13.208
"96",96,5771124,1998,14053,1996,"US","CA",729805,2,33,359,5,54,70,3,1,0,0.6237,1.3333,5.1714,0,0,0.3333,0.3333,1.09861228866811,20.5821
"97",97,5727584,1998,13955,1996,"US","NY",NA,1,11,135,6,69,11,2,0.4545,0,0,1.5,45.2727,NA,NA,NA,NA,0.693147180559945,0
"98",98,5670822,1997,13780,1995,"TW","",691888,3,7,257,4,46,2,1,1,0,0,1,9,0,0,0,0,0,0
"99",99,5379750,1995,12793,1993,"US","IN",90590,2,10,126,6,66,5,2,1,0.5,0.48,3,9,0,0,0,0,0.693147180559945,4.8
"100",100,5466952,1995,13101,1994,"GB","",601715,2,10,257,4,46,2,5,1,0.72,0,2,4,0.5,0.5,0,0,1.6094379124341,0
"101",101,5588599,1996,13514,1994,"US","AZ",NA,1,12,241,5,51,9,2,1,0.5,0.716,2,16.5556,NA,NA,NA,NA,0.693147180559945,8.592
"102",102,5470680,1995,13115,1993,"US","AZ",716369,2,88,429,4,45,1,1,1,0,0,3,2,0,0,0,0,0,0
"103",103,5435925,1995,12989,1993,"US","WA",713165,2,15,508,5,59,14,1,1,0,0.5816,4,14.5714,0,0,0,0,0,8.724
"104",104,5440935,1995,13010,1993,"US","MN",388245,2,21,73,4,43,24,3,0.9583,0.4444,0.794,2,15.5833,0,0,0,0,1.09861228866811,16.674
"105",105,5506085,1996,13248,1995,"BE","",10990,3,10,430,1,19,3,5,1,0.32,0.4444,1.2,5,0,0,0.6,0.6,1.6094379124341,4.444
"106",106,5581550,1996,13486,1994,"FR","",683664,3,8,370,2,21,3,1,1,0,0,2,1.3333,0.3333,0.3333,0,0,0,0
"107",107,5410247,1995,12898,1993,"JP","",87490,3,11,324,4,43,6,2,1,0,0.4444,2.5,8.3333,0,0,0,0,0.693147180559945,4.8884
"108",108,5379802,1995,12793,1991,"US","CA",NA,1,6,138,6,67,6,1,0.1667,0,0,7,59,NA,NA,NA,NA,0,0
"109",109,5595706,1997,13535,1994,"US","TN",438640,2,28,420,5,52,15,1,0.6667,0,0.48,3,22.7333,0,0,0,0,0,13.44
"110",110,5569176,1996,13451,1994,"US","CA",NA,1,7,602,3,32,4,1,1,0,0.625,3,8,NA,NA,NA,NA,0,4.375
"111",111,5671058,1997,13780,1995,"JP","",581270,3,16,356,4,43,1,1,1,0,0,1,3,1,1,0,0,0,0
"112",112,5725383,1998,13948,1996,"JP","",77725,3,4,434,6,69,10,2,1,0.5,0.76,1,8.6,0.1111,0.1,0.5,0.5,0.693147180559945,3.04
"113",113,5573578,1996,13465,1995,"JP","",476845,3,4,106,1,12,3,8,1,0.2188,0.4444,1.625,1,0,0,0.5,0.5,2.07944154167984,1.7776
"114",114,5700406,1997,13871,1996,"US","SC",723888,2,70,264,5,51,26,2,1,0.5,0.8609,1,4.8462,0,0,0,0,0.693147180559945,60.263
"115",115,5713527,1998,13913,1995,"DE","",708058,3,9,241,5,51,8,2,0.625,0,0,3,21.625,0.25,0.125,0,0,0.693147180559945,0
"116",116,5672345,1997,13787,1995,"US","MO",619140,2,16,424,3,31,3,2,1,0.5,0.4444,1,7.3333,0.6667,0.6667,0,0,0.693147180559945,7.1104
"117",117,5452622,1995,13052,1993,"US","TN",714719,2,57,74,5,59,77,6,0.5974,0.6667,0.741,3.1667,34.0519,0,0,0,0,1.79175946922805,42.237
"118",118,5516522,1996,13283,1994,"US","LA",343025,2,16,424,3,31,2,1,1,0,0,4,5.5,0,0,0,0,0,0
"119",119,5398458,1995,12863,1992,"US","IL",709614,2,20,451,5,51,4,2,1,0,0,3,15.5,0,0,0,0,0.693147180559945,0
"120",120,5443468,1995,13017,1994,"US","MI",NA,1,2,606,3,32,7,2,1,0,0.2449,3.5,5.1429,NA,NA,NA,NA,0.693147180559945,0.4898
"121",121,5517995,1996,13290,1994,"US","WA",512835,2,31,600,3,32,2,1,1,0,0.5,3,6.5,0,0,0,0,0,15.5
"122",122,5767485,1998,14046,1996,"JP","",399720,3,9,219,4,49,10,1,0.9,0,0.3704,1,14.9,0,0,0,0,0,3.3336
"123",123,5454752,1995,13059,1993,"GB","",NA,1,13,451,5,51,13,8,0.6923,0.5313,0.5679,3.5,24.3077,NA,NA,NA,NA,2.07944154167984,7.3827
"124",124,5619161,1997,13612,1996,"US","VT",280070,2,7,327,4,41,50,2,1,0,0.604,1.5,6.42,0.02,0.02,0,0,0.693147180559945,4.228
"125",125,5477117,1995,13136,1994,"JP","",379245,3,3,318,4,45,16,2,1,0.5,0.8047,2,5.875,0.0625,0.0625,0.5,0.5,0.693147180559945,2.4141
"126",126,5527358,1996,13318,1994,"DE","",365520,2,34,607,3,32,16,1,0.9375,0,0.2311,2,12.1875,0.0833,0.0625,0,0,0,7.8574
"127",127,5634039,1997,13661,1995,"DE","",512710,3,25,395,2,22,9,5,1,0.72,0.6173,1.2,6.8889,0,0,0,0,1.6094379124341,15.4325
"128",128,5696527,1997,13857,1994,"US","CA",713794,2,27,345,2,23,9,1,1,0,0.642,2,8,0.1111,0.1111,0,0,0,17.334
"129",129,5466671,1995,13101,1994,"US","NY",518325,2,15,514,3,31,1,1,1,0,0,3,1,0,0,0,0,0,0
"130",130,5451205,1995,13045,1994,"US","CA",19355,2,20,604,3,32,18,5,1,0.72,0.7469,2.6,9.4444,0.1667,0.1667,0.4,0.4,1.6094379124341,14.938
"131",131,5426605,1995,12954,1993,"GB","",601715,2,16,365,2,24,5,3,1,0.4444,0.32,4,12,0,0,0,0,1.09861228866811,5.12
"132",132,5481265,1996,13150,1992,"US","MI",NA,1,41,341,2,22,25,9,1,0.6914,0.8448,3.3333,7.84,NA,NA,NA,NA,2.19722457733622,34.6368
"133",133,5737671,1998,13976,1996,"JP","",211530,3,17,399,5,54,12,1,1,0,0.6806,1,10.0833,0,0,0,0,0,11.5702
"134",134,5620730,1997,13619,1994,"ZA","",NA,1,8,426,6,61,17,1,0.9412,0,0.6719,4,14.1176,NA,NA,NA,NA,0,5.3752
"135",135,5615121,1997,13598,1995,"US","CO",711663,2,48,705,2,22,3,7,1,0.449,0,1.2857,3.3333,0,0,0,0,1.94591014905531,0
"136",136,5579419,1996,13479,1993,"JP","",87490,3,28,382,2,22,14,5,1,0.56,0.6837,2.2,3.0714,0.0714,0.0714,0.4,0.4,1.6094379124341,19.1436
"137",137,5689705,1997,13836,1995,"US","MI",735296,2,3,707,2,22,29,6,1,0,0.7753,1.5,5.0345,0,0,0.2,0.1667,1.79175946922805,2.3259
"138",138,5831710,1998,14186,1997,"US","NY",280070,2,10,349,1,19,8,1,1,0,0,0,8.875,0.1429,0.125,0,0,0,0
"139",139,5745554,1998,13997,1996,"US","CA",740206,2,13,379,2,21,5,2,1,0,0.56,1.5,3.2,0,0,0,0,0.693147180559945,7.28
"140",140,5641381,1997,13689,1995,"US","OH",597260,6,13,438,4,46,6,2,1,0.5,0,2,6.5,0,0,0,0,0.693147180559945,0
"141",141,5434272,1995,12982,1993,"GB","",364545,3,3,548,1,14,0,1,NA,0,NA,4,NA,NA,NA,0,0,0,NA
"142",142,5729582,1998,13955,1996,"KR","",NA,1,18,378,4,44,3,1,1,0,0,1,11.3333,NA,NA,NA,NA,0,0
"143",143,5408641,1995,12891,1994,"US","MA",147695,2,9,713,2,22,14,1,1,0,0.7551,1,16,0,0,0,0,0,6.7959
"144",144,5644645,1997,13696,1994,"JP","",395735,3,3,382,2,22,13,1,1,0,0.4852,2,6.4615,0.0833,0.0769,0,0,0,1.4556
"145",145,5643816,1997,13696,1995,"TW","",596760,3,5,438,4,46,3,1,1,0,0,2,4.6667,0.6667,0.6667,0,0,0,0
"146",146,5790403,1998,14095,1995,"JP","",256400,3,11,701,2,22,10,6,1,0.5,0.48,2.3333,3.5,0.3,0.3,0.1667,0.1667,1.79175946922805,5.28
"147",147,5504815,1996,13241,1995,"US","CA",347550,2,6,380,2,22,5,1,1,0,0.48,2,5.4,0.4,0.4,0,0,0,2.88
"148",148,5537748,1996,13353,1993,"JP","",487235,3,4,30,6,65,11,2,0.9091,0,0.58,3.5,15.6364,0,0,0,0,0.693147180559945,2.32
"149",149,5382487,1995,12800,1994,"JP","",87490,3,72,430,1,19,3,3,1,0,0.4444,2.6667,14,0.6667,0.6667,1,1,1.09861228866811,31.9968
"150",150,5542174,1996,13367,1994,"US","CA",278220,2,37,29,5,52,14,2,1,0.5,0.7653,3,15.0714,0,0,0,0,0.693147180559945,28.3161
"151",151,5384675,1995,12807,1993,"US","CA",280070,2,28,360,2,24,4,11,1,0.5124,0,3.2727,7,1,0.75,0.1,0.0909,2.39789527279837,0
"152",152,5410492,1995,12898,1993,"US","IL",35465,2,23,702,2,22,34,6,1,0.7778,0.7284,2.6667,8.5882,0,0,0.6,0.5,1.79175946922805,16.7532
"153",153,5422756,1995,12940,1992,"US","MN",377880,2,7,359,5,54,15,32,0.8667,0.7188,0.7692,4.4688,10.2667,0.4167,0.3333,0.2258,0.2188,3.46573590279973,5.3844
"154",154,5809262,1998,14137,1996,"US","TX",686161,2,9,710,2,22,5,4,1,0.5,0.56,1,3.4,0.2,0.2,0,0,1.38629436111989,5.04
"155",155,5720708,1998,13934,1997,"US","MN",360355,2,16,600,3,32,3,1,1,0,0.6667,0,3,0,0,0,0,0,10.6672
"156",156,5629237,1997,13647,1995,"TW","",558655,3,14,438,4,46,7,6,1,0.2778,0.2449,1.6667,7.5714,0.2857,0.2857,0.5,0.5,1.79175946922805,3.4286
"157",157,5509564,1996,13262,1994,"US","NE",131050,2,10,220,6,68,12,1,0.5,0,0.6111,3,48.5,0,0,0,0,0,6.111
"158",158,5591419,1997,13521,1996,"US","IL",727075,2,8,423,1,19,10,2,1,0.5,0,0.5,12.6,0,0,0,0,0.693147180559945,0
"159",159,5707321,1998,13892,1995,"US","OR",NA,1,14,482,5,59,13,9,1,0,0.3787,2.2222,5.8462,NA,NA,NA,NA,2.19722457733622,5.3018
"160",160,5487479,1996,13178,1993,"US","WI",351140,2,14,212,5,59,15,2,0.6667,0.5,0.58,4,33.3333,0,0,0,0,0.693147180559945,8.12
"161",161,5652945,1997,13724,1996,"US","NY",635240,2,16,399,5,54,3,1,1,0,0,1,1.6667,1,0.6667,1,1,0,0
"162",162,5400707,1995,12870,1994,"US","NY",98135,2,9,100,5,59,4,7,0.75,0.5714,0.4444,2,12.75,0,0,0.4,0.2857,1.94591014905531,3.9996
"163",163,5668806,1997,13773,1995,"JP","",87490,3,28,370,2,21,3,2,1,0,0,1.5,5.3333,0,0,0,0,0.693147180559945,0
"164",164,5561435,1996,13423,1995,"US","NJ",597185,6,6,343,2,21,11,5,1,0,0.1653,2.2,5.9091,0.1111,0.0909,0.2,0.2,1.6094379124341,0.9918
"165",165,5538917,1996,13353,1994,"JP","",395735,3,10,438,4,46,2,3,1,0,0,2,6,0,0,0,0,1.09861228866811,0
"166",166,5835018,1998,14193,1997,"US","WI",NA,1,14,340,2,21,7,1,1,0,0.2449,1,3.7143,NA,NA,NA,NA,0,3.4286
"167",167,5419670,1995,12933,1993,"US","TN",393810,2,3,414,5,51,29,1,0.8966,0,0.8047,2,15.6207,0,0,0,0,0,2.4141
"168",168,5456439,1995,13066,1993,"US","MI",287565,2,17,248,6,69,22,14,0.8636,0.4388,0.6427,2.8571,12.1818,0.3158,0.2727,0.0714,0.0714,2.63905732961526,10.9259
"169",169,5694137,1997,13850,1995,"US","FL",NA,1,1,343,2,21,5,3,1,0.4444,0.8,2,4,NA,NA,NA,NA,1.09861228866811,0.8
"170",170,5486285,1996,13171,1994,"CA","",682380,2,6,210,1,19,23,6,0.5652,0,0.6509,1.8333,33.5217,0,0,0,0,1.79175946922805,3.9054
"171",171,5425125,1995,12947,1994,"GB","",702903,3,48,385,2,21,14,1,0.9286,0,0.7219,4,8.2857,0,0,1,1,0,34.6512
"172",172,5574623,1996,13465,1995,"US","IL",357665,2,14,361,4,45,9,1,1,0,0.5679,1,7.7778,0,0,1,1,0,7.9506
"173",173,5499274,1996,13220,1994,"US","TX",683218,2,10,375,2,21,2,1,1,0,0.5,2,5,0,0,0,0,0,5
"174",174,5460190,1995,13080,1994,"US","LA",NA,1,3,132,6,65,6,1,1,0,0.4444,3,20,NA,NA,NA,NA,0,1.3332
"175",175,5545040,1996,13374,1994,"SG","",723038,3,9,434,6,69,10,5,1,0.56,0.34,3,9.9,0,0,0,0,1.6094379124341,3.06
